Borough Name,Approved On Street,Approved From Street,Approved To Street,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,Shape_STLe,the Geom,StartDate,EndDate,ApprovedDays
Brooklyn,ALBEMARLE ROAD,MCDONALD AVENUE,DAHILL ROAD,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,,,,,290.292203476,"MULTILINESTRING ((-73.98091801054896 40.645006889428224, -73.97988358295542 40.64512540146034))",2021-09-13,2022-06-24,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
Brooklyn,2nd STREET,BOND STREET,DEAD END,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,21:00,10:00,21:00,10:00,21:00,493.43098909,"MULTILINESTRING ((-73.99137271948113 40.677566184019035, -73.98986854491567 40.67684310111255))",2021-04-16,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,17th STREET,Calder Place,PROSPECT PARK WEST,,,,,,,,,,,10:00,20:00,10:00,20:00,779.998172111,"MULTILINESTRING ((-73.98668458659006 40.660946357966004, -73.98448311755779 40.65961483034003))",2021-06-05,2021-09-06,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,10th STREET,13th STREET,,,,,,,,,,,11:00,22:30,11:00,22:00,259.908868108,"MULTILINESTRING ((-73.98730374005811 40.66799191455264, -73.98780679411252 40.66739008126739))",2021-04-02,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,10th STREET,13th STREET,,,,,,,,,,,11:00,22:30,11:00,22:00,259.955546226,"MULTILINESTRING ((-73.98680265174877 40.668594851655016, -73.98730374005811 40.66799191455264))",2021-04-02,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,WYCKOFF STREET,HOYT STREET,4th AVENUE,,,,,,,,,10:00,20:00,08:00,20:00,08:00,20:00,669.187959884,"MULTILINESTRING ((-73.98871444399559 40.68524112088104, -73.98656591508161 40.68440525819403))",2021-04-24,2021-10-09,"['Friday', 'Saturday', 'Sunday']"
Brooklyn,PACIFIC STREET,NEVINS STREET,SMITH STREET,,,,,,,,,,,08:00,20:00,08:00,20:00,680.596375652,"MULTILINESTRING ((-73.98961530668952 40.68800834138139, -73.9874321266491 40.68715515624357))",2021-04-24,2021-10-09,"['Saturday', 'Sunday']"
Brooklyn,4th STREET,DEAD END,5th AVENUE,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,,,413.915399225,"MULTILINESTRING ((-73.98506164884759 40.67280308202554, -73.98378911032374 40.67220980516228))",2021-03-30,2021-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']"
Brooklyn,PACIFIC STREET,NEVINS STREET,SMITH STREET,,,,,,,,,,,08:00,20:00,08:00,20:00,675.123166088,"MULTILINESTRING ((-73.98526208306767 40.686310613126956, -73.98309425886183 40.68546764213877))",2021-04-24,2021-10-09,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,,,,,,,,,,,11:00,22:30,11:00,22:00,259.904295784,"MULTILINESTRING ((-73.98278396869335 40.67341525827026, -73.98328485869291 40.672812375000774))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,,,,,,,,,,,11:00,22:30,11:00,22:00,260.449861226,"MULTILINESTRING ((-73.98089189968539 40.67579486893134, -73.9813290221892 40.67516218479335))",2021-04-03,2021-12-18,"['Saturday', 'Sunday']"
Manhattan,PEARL STREET,BROAD STREET,WALL STREET,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,279.087935699,"MULTILINESTRING ((-74.01159964966553 40.703463169691275, -74.01064744714597 40.70371152294568))",2021-05-14,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,PEARL STREET,BROAD STREET,WALL STREET,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,57.3658404229,"MULTILINESTRING ((-74.01064744714597 40.70371152294568, -74.01049900856712 40.70382120901987))",2021-05-14,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,STONE STREET,HANOVER SQUARE,COENTIES SLIP,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,122.538611464,"MULTILINESTRING ((-74.01007258189583 40.70456242326349, -74.0097492922772 40.70479175741281))",2021-09-25,2022-12-31,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Manhattan,PEARL STREET,BROAD STREET,WALL STREET,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,195.862334825,"MULTILINESTRING ((-74.00945753652297 40.70454436616417, -74.00890398715198 40.704878356094014))",2021-05-14,2021-11-19,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
Brooklyn,JORALEMON STREET,HICKS STREET,FURMAN STREET,8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,254.144382857,"MULTILINESTRING ((-73.99761164805767 40.693616812686074, -73.99671991517899 40.69345583215051))",2021-05-01,2021-09-26,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
