"","modzcta","modzcta_name","lat","lon","people_tested","people_positive","percentpositivity_7day","adequately_tested"
"61",10455,"Mott Haven",40.8147,-73.908583,1502,16,1.07,"Yes"
"62",10456,"Claremont/Morrisania",40.829884,-73.908121,2823,33,1.17,"Yes"
"63",10457,"Belmont/Claremont/Mount Hope/Tremont",40.847151,-73.898676,2238,34,1.52,"Yes"
"64",10458,"Belmont/Fordham University/Kingsbridge",40.862531,-73.88817,2509,59,2.35,"Yes"
"65",10459,"Charlotte Gardens/Hunts Point",40.82584,-73.892976,1670,22,1.32,"Yes"
"66",10460,"Charlotte Gardens/Tremont/Van Nest/West Farms",40.841753,-73.879584,1800,33,1.83,"Yes"
"67",10461,"Morris Park/Pelham Bay/Westchester Square",40.847415,-73.840601,1445,37,2.56,"Yes"
"68",10462,"Parkchester/Pelham Parkway/Van Nest/Westchester Square",40.842874,-73.858772,2335,45,1.93,"Yes"
"69",10463,"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",40.880824,-73.906514,1973,44,2.23,"Yes"
"70",10464,"City Island",40.872311,-73.804653,112,7,6.25,"Yes"
"71",10465,"Country Club/Throgs Neck",40.823931,-73.822886,1037,22,2.12,"Yes"
"72",10466,"Edenwald/Wakefield",40.890965,-73.845912,1789,31,1.73,"Yes"
"73",10467,"Allerton/Norwood/Pelham Parkway/Williamsbridge",40.880939,-73.873956,3108,48,1.54,"Yes"
"74",10468,"Fordham/Kingsbridge/University Heights",40.868161,-73.899844,2276,39,1.71,"Yes"
"75",10469,"Allerton/Baychester/Pelham Gardens/Williamsbridge",40.86876,-73.846984,1764,35,1.98,"Yes"
"76",10470,"Wakefield/Woodlawn",40.895986,-73.86802,436,9,2.06,"Yes"
"77",10471,"Fieldston/North Riverdale/Riverdale",40.899509,-73.901518,710,23,3.24,"Yes"
"78",10472,"Soundview",40.829561,-73.869393,2049,26,1.27,"Yes"
"79",10473,"Castle Hill/Clason Point/Soundview",40.818135,-73.858718,1960,27,1.38,"Yes"
"80",10474,"Hunts Point",40.810595,-73.884618,348,3,0.86,"Yes"
"81",10475,"Co-op City/Edenwald",40.868941,-73.824854,1033,26,2.52,"Yes"
"82",11004,"Bellerose/Douglaston-Little Neck",40.748068,-73.710907,390,15,3.85,"Yes"
"83",11101,"Astoria (South)/Long Island City/Sunnyside",40.747077,-73.938586,1698,43,2.53,"Yes"
"84",11102,"Astoria (North)",40.772498,-73.925912,1103,24,2.18,"Yes"
"85",11103,"Astoria (North)/Astoria (South)",40.762536,-73.913541,1062,23,2.17,"Yes"
"86",11104,"Sunnyside",40.744658,-73.920205,819,14,1.71,"Yes"
"87",11105,"Ditmars Steinway",40.778969,-73.906286,1070,26,2.43,"Yes"
"88",11106,"Astoria (South)",40.761792,-73.931771,1193,29,2.43,"Yes"
"89",11109,"Long Island City",40.746211,-73.956999,169,4,2.37,"Yes"
"90",11201,"Brooklyn Heights/DUMBO/Downtown Brooklyn",40.694609,-73.989581,2924,62,2.12,"Yes"
"91",11203,"East Flatbush (North)/East Flatbush (South)",40.649576,-73.934363,1995,40,2.01,"Yes"
"92",11204,"Bensonhurst/Mapleton",40.618774,-73.984824,2694,85,3.16,"Yes"
"93",11205,"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",40.694625,-73.966212,3487,46,1.32,"Yes"
"94",11206,"Williamsburg (South)",40.701957,-73.942361,5200,56,1.08,"Yes"
"95",11207,"Cypress Hills/East New York",40.670819,-73.894255,2885,54,1.87,"Yes"
"96",11208,"Cypress Hills/East New York",40.668385,-73.871084,2753,66,2.4,"Yes"
"97",11209,"Bay Ridge/Fort Hamilton",40.621811,-74.030011,1917,72,3.76,"Yes"
"98",11210,"Flatlands/Midwood",40.628165,-73.946316,1565,34,2.17,"Yes"
"99",11211,"East Williamsburg/Williamsburg (North)/Williamsburg (South)",40.712334,-73.953851,6393,98,1.53,"Yes"
"100",11212,"Ocean Hill-Brownsville",40.662935,-73.913011,2514,55,2.19,"Yes"
"101",11213,"Crown Heights (East)",40.671074,-73.93633,1964,44,2.24,"Yes"
"102",11214,"Bath Beach/Bensonhurst/Gravesend",40.598729,-73.99621,2448,83,3.39,"Yes"
"103",11215,"Gowanus/Park Slope/Windsor Terrace",40.66252,-73.986872,2910,76,2.61,"Yes"
"104",11216,"Bedford-Stuyvesant (West)/Crown Heights (West)",40.680785,-73.94931,1970,62,3.15,"Yes"
"105",11217,"Boerum Hill/Park Slope",40.682417,-73.97938,1738,46,2.65,"Yes"
"106",11218,"Kensington/Windsor Terrace",40.64348,-73.976044,2947,69,2.34,"Yes"
"107",11219,"Borough Park",40.632662,-73.996666,4034,73,1.81,"Yes"
"108",11220,"Sunset Park",40.641081,-74.016495,2804,102,3.64,"Yes"
"109",11221,"Bedford-Stuyvesant (East)/Bushwick",40.691339,-73.927885,2609,72,2.76,"Yes"
"110",11222,"Greenpoint",40.728292,-73.947562,1584,47,2.97,"Yes"
"111",11223,"Gravesend/Homecrest",40.597169,-73.973422,2095,69,3.29,"Yes"
"112",11224,"Brighton Beach/Coney Island/Seagate",40.57666,-73.988581,1316,47,3.57,"Yes"
"113",11225,"Crown Heights (West)/Prospect Lefferts Gardens",40.663056,-73.954226,1813,47,2.59,"Yes"
"114",11226,"Flatbush/Prospect Lefferts Gardens",40.646456,-73.956654,3177,56,1.76,"Yes"
"115",11228,"Bath Beach/Dyker Heights",40.616715,-74.013054,1212,37,3.05,"Yes"
"116",11229,"Gerritsen Beach/Homecrest/Sheepshead Bay",40.601175,-73.944465,1925,56,2.91,"Yes"
"117",11230,"Midwood",40.622164,-73.965096,2470,69,2.79,"Yes"
"118",11231,"Carroll Gardens/Cobble Hill/Red Hook",40.677562,-74.004445,1536,60,3.91,"Yes"
"119",11232,"Sunset Park",40.655984,-74.005304,811,22,2.71,"Yes"
"120",11233,"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",40.678302,-73.919931,2369,30,1.27,"Yes"
"121",11234,"Bergen Beach/Flatlands/Marine Park/Mill Basin",40.60758,-73.910513,2190,62,2.83,"Yes"
"122",11235,"Brighton Beach/Manhattan Beach/Sheepshead Bay",40.583915,-73.949669,2444,90,3.68,"Yes"
"123",11236,"Canarsie",40.640004,-73.901459,2582,48,1.86,"Yes"
"124",11237,"Bushwick/East Williamsburg",40.704153,-73.920883,1511,33,2.18,"Yes"
"125",11238,"Clinton Hill/Prospect Heights",40.679179,-73.963804,2343,55,2.35,"Yes"
"126",11239,"East New York",40.64753,-73.882398,413,8,1.94,"Yes"
"127",11354,"Flushing/Murray Hill",40.76863,-73.827229,1222,57,4.66,"Yes"
"128",11355,"Flushing/Murray Hill/Queensboro Hill",40.751459,-73.821014,1805,76,4.21,"Yes"
"129",11356,"College Point",40.784867,-73.841495,653,20,3.06,"Yes"
"130",11357,"Whitestone",40.78639,-73.810964,944,24,2.54,"Yes"
"131",11358,"Auburndale/Murray Hill",40.760475,-73.79637,912,22,2.41,"Yes"
"132",11360,"Bayside (North)",40.78205,-73.7808,475,19,4,"Yes"
"133",11361,"Bayside (North)/Bayside (South)",40.763748,-73.772419,641,19,2.96,"Yes"
"134",11362,"Douglaston-Little Neck",40.756533,-73.736995,451,11,2.44,"Yes"
"135",11363,"Douglaston-Little Neck",40.772803,-73.746444,186,6,3.23,"Yes"
"136",11364,"Bayside (South)/Oakland Gardens",40.745279,-73.760578,982,28,2.85,"Yes"
"137",11365,"Auburndale/Fresh Meadows/Pomonok/Utopia",40.739775,-73.794806,1078,29,2.69,"Yes"
"138",11366,"Fresh Meadows/Hillcrest",40.728136,-73.784981,337,7,2.08,"Yes"
"139",11367,"Kew Gardens Hills/Pomonok",40.730383,-73.826297,979,25,2.55,"Yes"
"140",11368,"Corona/North Corona",40.749594,-73.852604,3150,47,1.49,"Yes"
"141",11369,"Airport/East Elmhurst",40.768944,-73.872812,1040,19,1.83,"Yes"
"142",11370,"Jackson Heights/Rikers Island",40.763466,-73.891021,727,17,2.34,"Yes"
"143",11372,"Jackson Heights",40.75169,-73.883634,1956,50,2.56,"Yes"
"144",11373,"Elmhurst",40.738823,-73.8785,2832,59,2.08,"Yes"
"145",11374,"Rego Park",40.726441,-73.861497,1155,43,3.72,"Yes"
"146",11375,"Forest Hills",40.720931,-73.846184,1893,46,2.43,"Yes"
"147",11377,"Woodside",40.744823,-73.90516,2433,75,3.08,"Yes"
"148",11378,"Maspeth",40.724768,-73.909399,927,29,3.13,"Yes"
"149",11379,"Middle Village",40.716758,-73.879597,873,36,4.12,"Yes"
"150",11385,"Glendale/Ridgewood",40.701058,-73.890159,2671,74,2.77,"Yes"
"151",11411,"Cambria Heights",40.694202,-73.735998,465,14,3.01,"Yes"
"152",11412,"St. Albans",40.698095,-73.758984,1038,31,2.99,"Yes"
"153",11413,"Laurelton/Rosedale",40.669738,-73.750842,1068,22,2.06,"Yes"
"154",11414,"Hamilton Beach/Howard Beach/Lindenwood",40.658266,-73.844905,642,23,3.58,"Yes"
"155",11415,"Kew Gardens",40.708323,-73.828212,516,21,4.07,"Yes"
"156",11416,"Ozone Park",40.684652,-73.849549,703,13,1.85,"Yes"
"157",11417,"Ozone Park",40.676457,-73.844522,894,16,1.79,"Yes"
"158",11418,"Richmond Hill",40.700236,-73.836062,959,35,3.65,"Yes"
"159",11419,"Richmond Hill/South Ozone Park",40.688676,-73.822901,1247,44,3.53,"Yes"
"160",11420,"South Ozone Park",40.673518,-73.817812,1156,23,1.99,"Yes"
"161",11421,"Woodhaven",40.69405,-73.85867,1101,34,3.09,"Yes"
"162",11422,"Rosedale",40.660819,-73.73608,809,16,1.98,"Yes"
"163",11423,"Hollis/Holliswood",40.71491,-73.767865,905,21,2.32,"Yes"
"164",11426,"Bellerose",40.736521,-73.722384,510,22,4.31,"Yes"
"165",11427,"Bellerose/Hollis Hills/Holliswood",40.730915,-73.745611,608,14,2.3,"Yes"
"166",11428,"Queens Village",40.721015,-73.742206,511,16,3.13,"Yes"
"167",11429,"Queens Village",40.709772,-73.738731,760,14,1.84,"Yes"
"168",11432,"Hillcrest/Jamaica Estates/Jamaica Hills",40.715359,-73.793064,1729,48,2.78,"Yes"
"169",11433,"Jamaica",40.69823,-73.787095,1094,20,1.83,"Yes"
"170",11434,"Airport/South Jamaica/Springfield Gardens/St. Albans",40.656866,-73.783386,1897,45,2.37,"Yes"
"171",11435,"Briarwood/Jamaica",40.701291,-73.809618,1547,40,2.59,"Yes"
"172",11436,"South Jamaica/South Ozone Park",40.675819,-73.796618,535,16,2.99,"Yes"
"173",11691,"Edgemere/Far Rockaway",40.60133,-73.761357,1518,39,2.57,"Yes"
"174",11692,"Arverne/Edgemere",40.592794,-73.792203,540,13,2.41,"Yes"
"175",11693,"Arverne/Broad Channel",40.603699,-73.821926,260,7,2.69,"Yes"
"176",11694,"Belle Harbor-Neponsit/Rockaway Park",40.577599,-73.844553,346,18,5.2,"Yes"
"177",11697,"Breezy Point",40.55907,-73.907199,58,2,3.45,"No"
