"","MODIFIED_ZCTA","NEIGHBORHOOD_NAME","BOROUGH_GROUP","lat","lon","POP_DENOMINATOR","COVID_CONFIRMED_CASE_COUNT","COVID_PROBABLE_CASE_COUNT","COVID_CASE_COUNT","COVID_CONFIRMED_CASE_RATE","COVID_CASE_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS"
"96",11208,"Cypress Hills/East New York","Brooklyn",40.668385,-73.871084,95565.18,23999,3233,27232,25112.7,28495.73,25.42,90936
"97",11209,"Bay Ridge/Fort Hamilton","Brooklyn",40.621811,-74.030011,67514.44,14485,3005,17490,21454.67,25905.57,22.42,62229
"98",11210,"Flatlands/Midwood","Brooklyn",40.628165,-73.946316,65687.01,12903,2567,15470,19643.15,23551.08,22.68,54401
"99",11211,"East Williamsburg/Williamsburg (North)/Williamsburg (South)","Brooklyn",40.712334,-73.953851,101667.01,23056,3777,26833,22677.96,26393.03,20.02,110993
"100",11212,"Ocean Hill-Brownsville","Brooklyn",40.662935,-73.913011,73966.99,19662,2150,21812,26582.13,29488.83,24.64,76800
"101",11213,"Crown Heights (East)","Brooklyn",40.671074,-73.93633,64601.26,14633,2570,17203,22651.26,26629.51,21.34,66352
"102",11214,"Bath Beach/Bensonhurst/Gravesend","Brooklyn",40.598729,-73.99621,92814.16,18835,3998,22833,20293.24,24600.77,23.31,78863
"103",11215,"Gowanus/Park Slope/Windsor Terrace","Brooklyn",40.66252,-73.986872,69624.37,9134,2299,11433,13118.97,16420.98,13.88,64313
"104",11216,"Bedford-Stuyvesant (West)/Crown Heights (West)","Brooklyn",40.680785,-73.94931,54825.36,10589,2172,12761,19314.06,23275.73,19.25,53443
"105",11217,"Boerum Hill/Park Slope","Brooklyn",40.682417,-73.97938,40870.72,7161,1680,8841,17521.1,21631.62,15.57,44931
"106",11218,"Kensington/Windsor Terrace","Brooklyn",40.64348,-73.976044,73995.92,15511,2452,17963,20961.97,24275.66,19.8,75897
"107",11219,"Borough Park","Brooklyn",40.632662,-73.996666,90082.53,19098,2936,22034,21200.56,24459.79,19.46,95579
"108",11220,"Sunset Park","Brooklyn",40.641081,-74.016495,94590.76,22841,3901,26742,24147.18,28271.26,24.91,89102
"109",11221,"Bedford-Stuyvesant (East)/Bushwick","Brooklyn",40.691339,-73.927885,81440.74,17835,2759,20594,21899.36,25287.1,22,78183
"110",11222,"Greenpoint","Brooklyn",40.728292,-73.947562,36123.42,7991,1976,9967,22121.39,27591.52,18.98,40591
"111",11223,"Gravesend/Homecrest","Brooklyn",40.597169,-73.973422,81491.64,20825,3015,23840,25554.77,29254.53,27.64,71143
"112",11224,"Brighton Beach/Coney Island/Seagate","Brooklyn",40.57666,-73.988581,46270.81,12468,1968,14436,26945.71,31198.94,27.73,43433
"113",11225,"Crown Heights (West)/Prospect Lefferts Gardens","Brooklyn",40.663056,-73.954226,57513.69,10293,1853,12146,17896.61,21118.45,18.97,52413
"114",11226,"Flatbush/Prospect Lefferts Gardens","Brooklyn",40.646456,-73.956654,97355.08,19895,3131,23026,20435.5,23651.57,21.25,90783
"115",11228,"Bath Beach/Dyker Heights","Brooklyn",40.616715,-74.013054,44983.02,9557,1418,10975,21245.8,24398.1,25.23,37037
"116",11229,"Gerritsen Beach/Homecrest/Sheepshead Bay","Brooklyn",40.601175,-73.944465,83531.47,19839,3521,23360,23750.33,27965.51,26.27,72194
"117",11230,"Midwood","Brooklyn",40.622164,-73.965096,88889.21,22995,3493,26488,25869.28,29798.89,24.83,88047
"118",11231,"Carroll Gardens/Cobble Hill/Red Hook","Brooklyn",40.677562,-74.004445,37376.63,6274,1274,7548,16785.89,20194.44,17.15,35500
"119",11232,"Sunset Park","Brooklyn",40.655984,-74.005304,27085.73,6340,1168,7508,23407.16,27719.4,22.11,27870
"120",11233,"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville","Brooklyn",40.678302,-73.919931,74323.4,15067,2535,17602,20272.22,23682.99,22.73,63924
"121",11234,"Bergen Beach/Flatlands/Marine Park/Mill Basin","Brooklyn",40.60758,-73.910513,94056.07,18835,3625,22460,20025.29,23879.37,23.92,75685
