,Latitude,Longitude,Restaurant Name,Legal Business Name,Postcode,Food Service Establishment Permit #,Business Address,Landmark District or Building
7117,40.716312,-73.833803,MisFits Nutrition,"MisFits Nutrition, LLC",11375,50079324,"115-14 QUEENS BLVD, Queens, NY",no
7118,40.685992,-73.99097900000001,Smith St Bar + Kitchen,SBK Hospitality llc,11201,50046986,"166 Smith Street, Brooklyn, NY",no
7119,40.703884,-73.93089599999999,Yia Yia's Taverna,YIA YIA'S TAVERNA LLC,11237,50079167,"1035 Flushing Avenue, Brooklyn, NY",no
7120,40.758884,-73.91878299999999,BURGER VILLAGE,SDC-37 LLC,11103,50105531,"4017 BROADWAY, Queens, NY",no
7121,40.720352,-73.996429,Mimi Cheng's,Joyful Eats Two LLC,10013,50012093,"380 broome st, Manhattan, NY",no
7122,40.732193,-74.001537,The Coppola Cafe,MA. GE. GA Food LLC,10014,50089474,"171  West 4th Street, Manhattan, NY",no
7123,40.871385,-73.84803000000001,B & L Mordecai Inc,Code Red Restaurant & Lounge,10469,50061162,"1320 East Gun Hill Road, Bronx, NY",no
7124,40.666493,-73.981926,Jintana Thai farmhouse,Jintana Thai farm house,11215,50094923,"344 Seventh ave, Brooklyn, NY",no
7125,40.824274,-73.952035,Lyn-Genet's Kitchen,LYNGENET KITCHEN LLC,10031,50091300,"3473 Broadway, Manhattan, NY",no
7126,40.679732,-73.861918,McDonald's,Goodmanallfood - Ozone Park,11416,40367829,"75-50 101st Avenue, Queens, NY",no
7127,40.706963,-74.007091,Fields Good Chicken,"FGC 101 MAIDEN, LLC",10038,50010372,"101 Maiden Lane, Manhattan, NY",no
7128,40.851329,-73.94008000000001,181 Cabrini,The Element Restaurant Group Inc,10033,41351011,"854 West 181 Street, Manhattan, NY",no
7129,,,Taverna Kyclades east village,Maccg LLC,10009,50002376,"228  14st , Manhattan, NY",no
7130,40.804538,-73.955625,LoLo's Seafood Shack,303 Fare LLC,10026,50014997,"303 West 116th St., Manhattan, NY",no
7131,40.68142,-73.955714,Daily Press,Bedford Corners Cafe LLC,11238,41578745,"505 Franklin Ave, Brooklyn, NY",no
7132,40.711007,-73.95190699999999,simons bar and kitchen,simons bar and kitchen inc,11249,50076473,"483 grand st, Brooklyn, NY",no
7133,40.569025,-74.111203,Hook and Reel Cajun Seafood Restaurant,Hook Reel Inc.,10306,50075556,"2590 B Hylan Blvd. , Staten Island, NY",no
7134,40.742162,-73.977745,Waterfront Ale House,Sam's 2nd Avenue Ale House Inc,10016,40401671,"540 Second Avenue, Manhattan, NY",no
7135,40.765165,-73.987737,Flaming Saddles,Flaming Saddles NYC,10019,41614537,"793  9TH AVE, Manhattan, NY",no
7136,,,Little Choc Apothecary,Little Choc Inc,11211,50017583,"141 Havemayer St, Brooklyn, NY",no
7137,40.79568,-73.945883,Sidewalk Cafe,Sidewalk Cafe,10006,547890AE,"1520 Park Ave, Manhattan, NY",no
7138,,,Armondos Italian Restaurant,J N P K INC,11372,50018226,"73-16.   Northern Blvd, Queens, NY",no
7139,40.790995,-73.96889200000001,NEW AMSTERDAM BURGER BAR,NEW AMSTERDAM BURGER AND BAR LLC,10025,50093728,"680 Columbus Ave, Manhattan, NY",no
7140,40.742367,-74.004341,CATCH STEAKHOUSE,88 NINTH AVENUE HOSPITALITY LLC,10011,50098290,"88 9 AVENUE, Manhattan, NY",no
7141,40.774378000000006,-73.95931,PASTRAMI QUEEN,PASTRAMI LEASEHOLD LLC,10075,50091765,"1125 LEXINGTON AVENUE, Manhattan, NY",no
7142,40.8396,-73.783632,SAMMY'S ORIGINAL SHRIMP BOX,SAMMY'S S.B. REST CORP,10464,41397464,"64 CITY ISLAND AVENUE, Bronx, NY",no
7143,40.781944,-73.794327,RIVIERA RISTORANTE,17-12 RIVIERA RESTAURANT CORP.,11357,41491217,"1712 UTOPIA PKWY, Queens, NY",no
7144,,,Los Nisperos,Los Nisperos Peruvian Restaurant,10455,50049820,"500E 149 brook ave, Bronx, NY",yes
7145,40.670852000000004,-73.984892,FLYING HIPPO BAKERY CAFE,FLYING HIPPO LLC,11215,50102884,"383 5 AVENUE, Brooklyn, NY",no
7146,40.604502000000004,-73.96959100000001,Mint Vegan,BTN Food Corp,11223,40401506,"535 Kings Highway, Brooklyn, NY",no
7147,40.720727000000004,-73.988889,KARAOKE BOHO/BOHO'S KITCHEN,812 BROADWAY INC,10002,50073713,"152 ORCHARD STREET, Manhattan, NY",no
7148,40.760463,-73.989528,Sake bar Hagi 46,HAMA NEW YORK INC.,10036,50041331,"358 West 46th st, Manhattan, NY",no
7149,,,Gino Sorbillo,Gino Sorbillo LLC,10012,50066100,"334 334 Bowery, Manhattan, NY",yes
7150,40.720519,-74.00494599999999,Tataki restaurant,ATM japan inc,10013,50039988,"3  Lispenard Street, Manhattan, NY",no
7151,40.759071,-73.962355,Amaze,58asiancorp,10022,50001842,"1066  First avenue , Manhattan, NY",no
7152,40.748332,-73.93905,Penny Bridge Restaurant,HARDSCRABBLE HOSPITALITY GROUP LLC,11101,50107484,"2803 JACKSON AVE, Queens, NY",no
7153,40.727222,-73.853284,Mama schnitzel,Mama shnitzel,11374,50092264,"100-22 67 ave , Manhattan, NY",no
7154,40.798437,-73.939051,El Kallejon,Kallejon Corp,10035,50017824,"209 E. 117th Street, Manhattan, NY",no
7155,40.708172999999995,-74.00646400000001,Stout,Stout II Inc,10038,50009228,"90  John Street, Manhattan, NY",no
7156,40.720760999999996,-73.957957,JJ's Hideaway,North 10th Restaurant Company LLC,11249,50081419,"97 NORTH 10TH STREET, Brooklyn, NY",no
