"","date_of_interest","CASE_COUNT","PROBABLE_CASE_COUNT","HOSPITALIZED_COUNT","DEATH_COUNT","PROBABLE_DEATH_COUNT","CASE_COUNT_7DAY_AVG","ALL_CASE_COUNT_7DAY_AVG"
"538","08/19/2021",1690,442,99,14,0,1567,1990
"539","08/20/2021",1562,393,123,6,1,1561,1975
"540","08/21/2021",1091,315,116,16,0,1567,1981
"541","08/22/2021",719,208,107,10,1,1507,1904
"542","08/23/2021",1951,463,120,12,0,1510,1900
"543","08/24/2021",1833,420,108,11,1,1523,1909
"544","08/25/2021",1784,448,111,8,0,1519,1903
"545","08/26/2021",1643,424,104,13,1,1512,1893
"546","08/27/2021",1449,396,109,10,0,1496,1878
"547","08/28/2021",985,318,84,14,0,1481,1863
"548","08/29/2021",989,257,92,13,1,1519,1909
"549","08/30/2021",1836,442,122,13,1,1503,1889
"550","08/31/2021",1622,375,124,10,1,1473,1853
"551","09/01/2021",1558,338,130,13,0,1440,1805
"552","09/02/2021",1431,340,93,11,2,1410,1762
"553","09/03/2021",1421,340,78,8,0,1406,1750
"554","09/04/2021",905,256,108,12,1,1395,1730
"555","09/05/2021",951,264,76,13,2,1389,1726
"556","09/06/2021",947,272,77,17,1,1262,1574
"557","09/07/2021",1568,378,113,7,0,1254,1567
"558","09/08/2021",1589,389,99,20,0,1259,1579
"559","09/09/2021",1713,388,101,18,1,1299,1626
"560","09/10/2021",1545,412,99,15,0,1317,1654
"561","09/11/2021",1036,320,85,15,0,1336,1682
"562","09/12/2021",1213,343,88,12,0,1373,1730
"563","09/13/2021",1737,440,104,12,1,1486,1867
"564","09/14/2021",1639,434,82,9,1,1496,1885
"565","09/15/2021",1610,453,96,10,0,1499,1898
"566","09/16/2021",1384,425,85,11,1,1452,1856
"567","09/17/2021",1525,436,90,11,0,1449,1856
"568","09/18/2021",956,340,87,10,1,1438,1848
"569","09/19/2021",1057,440,71,16,1,1415,1839
"570","09/20/2021",1638,494,100,16,0,1401,1833
"571","09/21/2021",1302,455,87,13,0,1353,1788
"572","09/22/2021",1415,446,97,13,0,1325,1759
"573","09/23/2021",1288,465,101,12,0,1312,1751
"574","09/24/2021",1222,436,82,9,2,1268,1708
"575","09/25/2021",815,322,68,15,1,1248,1685
"576","09/26/2021",857,347,56,15,1,1220,1643
"577","09/27/2021",1391,406,75,18,0,1184,1595
"578","09/28/2021",1117,395,66,13,1,1158,1560
"579","09/29/2021",1095,406,64,13,1,1112,1509
"580","09/30/2021",1140,411,64,8,0,1091,1480
"581","10/01/2021",1084,410,82,7,0,1071,1457
"582","10/02/2021",680,276,64,12,0,1052,1431
"583","10/03/2021",905,279,63,12,0,1059,1428
"584","10/04/2021",1269,415,78,12,1,1041,1412
"585","10/05/2021",1269,349,71,6,0,1063,1427
"586","10/06/2021",1145,335,63,15,1,1070,1424
"587","10/07/2021",1077,363,62,13,0,1061,1408
"588","10/08/2021",1011,342,46,17,0,1051,1388
"589","10/09/2021",612,241,69,8,0,1041,1373
"590","10/10/2021",688,224,51,16,1,1010,1334
"591","10/11/2021",933,311,56,9,0,962,1271
"592","10/12/2021",1141,289,49,3,1,944,1245
"593","10/13/2021",1108,275,73,9,0,939,1231
"594","10/14/2021",1023,293,49,8,0,931,1213
"595","10/15/2021",884,238,60,7,1,913,1180
"596","10/16/2021",487,192,56,6,0,895,1155
"597","10/17/2021",588,204,47,9,2,881,1138
"598","10/18/2021",868,297,58,10,1,871,1127
"599","10/19/2021",796,203,50,10,1,822,1065
"600","10/20/2021",800,209,53,7,1,778,1012
"601","10/21/2021",808,196,49,13,0,747,967
"602","10/22/2021",693,229,47,9,1,720,939
"603","10/23/2021",450,144,41,10,0,715,926
"604","10/24/2021",443,149,45,14,0,694,898
"605","10/25/2021",894,238,35,9,0,698,893
"606","10/26/2021",597,150,42,8,0,669,857
"607","10/27/2021",759,211,48,9,1,663,852
"608","10/28/2021",737,193,38,7,0,653,841
"609","10/29/2021",641,200,30,4,0,646,829
"610","10/30/2021",399,157,28,9,0,639,824
"611","10/31/2021",446,154,30,7,0,639,825
"612","11/01/2021",780,278,39,4,0,623,815
"613","11/02/2021",805,239,50,9,0,652,857
"614","11/03/2021",825,272,53,7,0,662,875
"615","11/04/2021",907,259,39,4,0,686,909
"616","11/05/2021",769,269,34,5,0,704,937
"617","11/06/2021",505,220,38,11,1,720,961
"618","11/07/2021",543,217,35,8,0,733,984
"619","11/08/2021",1134,308,45,9,0,784,1039
"620","11/09/2021",1036,278,34,12,0,817,1077
"621","11/10/2021",1045,358,45,7,0,848,1121
"622","11/11/2021",873,322,48,7,0,844,1125
"623","11/12/2021",1027,321,39,14,2,880,1170
"624","11/13/2021",615,209,41,5,2,896,1184
"625","11/14/2021",687,258,38,5,0,917,1210
"626","11/15/2021",1262,369,48,9,3,935,1237
"627","11/16/2021",1270,337,40,10,0,968,1279
"628","11/17/2021",1326,383,53,8,0,1009,1323
"629","11/18/2021",1299,370,51,8,0,1069,1390
"630","11/19/2021",1184,383,48,8,0,1092,1422
"631","11/20/2021",826,292,47,10,0,1122,1464
"632","11/21/2021",839,312,41,4,0,1144,1493
"633","11/22/2021",1529,477,56,7,2,1182,1547
"634","11/23/2021",1376,348,61,6,0,1197,1563
"635","11/24/2021",1417,439,65,10,3,1210,1584
"636","11/25/2021",533,248,65,8,0,1101,1458
"637","11/26/2021",1170,407,75,11,2,1099,1459
"638","11/27/2021",970,355,62,8,0,1119,1489
"639","11/28/2021",1063,404,55,9,1,1151,1534
"640","11/29/2021",2339,617,80,10,0,1267,1669
"641","11/30/2021",2002,530,88,7,0,1356,1785
"642","12/01/2021",2187,627,89,15,2,1466,1922
"643","12/02/2021",2099,616,86,15,1,1690,2198
"644","12/03/2021",1900,537,105,13,0,1794,2321
"645","12/04/2021",1324,444,84,11,1,1845,2384
"646","12/05/2021",1405,520,102,14,0,1894,2450
"647","12/06/2021",2793,739,133,8,1,1959,2532
"648","12/07/2021",2918,659,131,14,1,2089,2681
"649","12/08/2021",3134,799,137,7,0,2225,2841
"650","12/09/2021",3021,758,133,10,2,2356,2993
"651","12/10/2021",3086,761,165,16,0,2526,3194
"652","12/11/2021",2159,351,127,8,1,2645,3300
"653","12/12/2021",2790,775,135,17,0,2843,3535
"654","12/13/2021",7511,1291,191,20,0,3517,4288
"655","12/14/2021",10852,1751,194,18,2,4650,5577
"656","12/15/2021",13165,1962,220,11,1,6083,7176
"657","12/16/2021",13830,2208,313,13,0,7628,8927
"658","12/17/2021",13517,2028,289,23,0,9118,10599
"659","12/18/2021",9923,1655,280,18,0,10227,11894
"660","12/19/2021",10538,1914,324,25,1,11334,13164
"661","12/20/2021",27897,3256,408,13,0,14246,16357
"662","12/21/2021",30327,3592,431,11,1,17028,19402
"663","12/22/2021",31293,5339,668,28,3,19618,22474
"664","12/23/2021",31737,3846,661,23,1,22176,25266
"665","12/24/2021",17423,2492,566,40,4,22734,25890
"666","12/25/2021",7776,1301,603,34,5,22427,25533
"667","12/26/2021",22867,3237,731,33,1,24189,27483
"668","12/27/2021",50876,5792,962,35,1,27471,31128
"669","12/28/2021",49132,4072,830,39,3,30158,33883
"670","12/29/2021",50121,5898,913,44,6,32847,36653
"671","12/30/2021",47022,5758,1014,35,2,35031,39110
"672","12/31/2021",29002,3348,808,54,3,36685,40886
"673","01/01/2022",12013,1899,856,56,10,37290,41577
"674","01/02/2022",32371,3525,1291,62,6,38648,42976
"675","01/03/2022",54694,5894,1114,66,9,39194,43536
"676","01/04/2022",48435,5450,990,76,16,39094,43633
"677","01/05/2022",39635,4499,1095,80,7,37596,41935
"678","01/06/2022",35995,3672,935,93,6,36021,40062
"679","01/07/2022",23039,2712,804,87,18,35169,39119
"680","01/08/2022",16126,2079,764,97,12,35756,39732
"681","01/09/2022",14299,1958,714,119,6,33175,36927
"682","01/10/2022",24146,3518,907,110,13,28811,32223
"683","01/11/2022",17920,2353,753,131,14,24451,27422
"684","01/12/2022",18198,2192,740,119,8,21389,24030
"685","01/13/2022",15743,1917,702,125,9,18496,20886
"686","01/14/2022",13247,1639,670,129,6,17097,19334
"687","01/15/2022",6644,883,491,98,9,15742,17808
"688","01/16/2022",6733,899,427,113,12,14662,16576
"689","01/17/2022",9545,1223,529,106,8,12576,14162
"690","01/18/2022",10763,1202,484,119,10,11553,12975
"691","01/19/2022",8878,964,416,91,5,10222,11469
"692","01/20/2022",6806,700,457,117,6,8945,10018
"693","01/21/2022",5576,649,367,106,12,7849,8781
"694","01/22/2022",3507,532,289,84,4,7401,8282
"695","01/23/2022",3288,514,260,100,10,6909,7735
"696","01/24/2022",5669,697,338,113,8,6355,7106
"697","01/25/2022",4735,485,327,100,7,5494,6143
"698","01/26/2022",4119,416,264,110,10,4814,5385
"699","01/27/2022",3547,361,270,78,2,4349,4871
"700","01/28/2022",2708,307,208,97,7,3939,4412
"701","01/29/2022",501,68,134,73,6,3510,3916
"702","01/30/2022",1427,225,138,84,3,3244,3609
"703","01/31/2022",3111,278,194,85,8,2878,3184
"704","02/01/2022",2209,253,162,68,3,2517,2790
"705","02/02/2022",2321,229,148,88,0,2261,2506
"706","02/03/2022",1988,192,124,68,3,2038,2260
"707","02/04/2022",1516,151,115,50,1,1868,2067
"708","02/05/2022",922,150,100,47,3,1928,2139
"709","02/06/2022",855,147,77,46,0,1846,2046
"710","02/07/2022",1557,176,75,31,1,1624,1809
"711","02/08/2022",1388,146,94,43,1,1507,1677
"712","02/09/2022",1227,147,76,31,2,1350,1509
"713","02/10/2022",1087,129,58,20,2,1222,1371
"714","02/11/2022",869,92,31,20,0,1129,1270
"715","02/12/2022",531,90,5,10,1,1073,1206
